nama,ulasan
Ruri Sriwahyuni,Bisa jajan murah lumayan buat mingguan
Ika Kumala Dewi,Tengah malam di hari libur sangat cocok dipakai buat ngopi dan nongkrong bareng teman atau komunitas. Dekat dengan masjid jadi sangat mudah jika waktu ibadah
Listya Dwi Nindya,"Luas banyak orang jualan jadi bisa jalan jalan, rekreasi, juga belanja tentunya, dekat dengan tempat ibadah dekat dengan pemberhentian transportasi.."
Lutfi Wijaya,"Alun-alun jombang adalah salah satu alun-alun yg masih terjaga bentuk nya, tanpa ada bangunan maupun tugu/patung di dalam nya. Sesuai fungsi nya sebagai area publik, alun-alun jombang sampai saat ini cukup recomended utk acara besar ataupun …"
nyoa98,"Tempatnya luas dan bersih, ada taman dan gazebo tempat berteduh, ditemani burung2 merpati, dekat dengan masjid Jami'"
Ali Mukajad,Saya nyapek alun alun subuh ebak banget udaranya n banyak orang jualan nasi di depan masjid  setelah selesai subuhan
Feerenza,Alun alun jombang ini letaknya ada di depan stasiun jombang dan di sebelah masjid jami jombang. Alun alun ini mempunyai area hijau terbuka yang luas dengan tiang bendera di tengahnya. Di pinggir alun alun juga telah disediakan tempat yang sangat teduh dan nyaman untuk istirahat.
Muhamad Iqbal,"Suasananya menyenangkan, banyak pohon rindang dan rumput yang hijau, juga di Minggu pagi banyak penjual makanan dadakan yang rasa dan harga yang pas."
Bambang Sismanto,tempat main buat sikecil yg murah meriah
laskar majapahit,Tempat sangat cocok buat keluarga
Feri irawan,"pisan ae nak alun-alun jombang,parkir di kasih 2k katanya 5k,habis di kasih 5k malah misuh i ga genah"
Media Kendawangan,Tempat berkumpulnya para remaja dan para ummat manusia
dedy widodo,Saya sangat senang karena alun alun sekarang lebih bagus dan bisa bermain dengan aman anak-anak di wahana permainan. Terima kasih
muhammad arif kurniawan,"Tempat olahraga gratis di pagi dan sore hari, banyak temannya, jadi semangat olahraga nya."
Adinda Vichy,"Luas sekali, anak² happy dengan adanya playground di alun² ini"
Lailatul Maghfiroh,"Karena banyak burung dara, kalau pagi enaknya ngajakin anak main disana. Jangan lupa bawa jagung/beras. Dijamin anak seneng. Gratis tis tis"
Muhammad Kharis Faisal,"Mantap cocok untuk lari lari, dan ramai juga untuk olahraga"
Restu ibu Do'a Bapak,Tempat yang nyaman ikonik kota jombang dan tempat yang bagus untuk berakhir pekan dengan kluarga.. sayangnya akses untuk kamar kecil( toilet kurang memadai) sangat suka dengan nasi jagung dan jagung bakar yang dijual rasanya mantap dan enak pas untuk sobat misqueen.
Denik Andrean,"Selama pandemi sangat² kurang nyaman buat aktivitas masyarakat Krn dijaga dibatasi oleh Satpol-PP, TNI,
Semoga masyarakat yg positif covid19 segera sembuh. Aamiin"
Enak Echo,Tempat asyik buat jalan2 menikmati indahnya malam. Ditemani banyak penjual berbagai macam kuliner dll.
MSA juki,Yaitu tempat yang siang maupun malam memiliki daya tarik tersendiri dan bisa membuat anda untuk menyisihkan waktu untuk singgah disana. Karena banyak hal yang jarang di temui di berbagai tempat
raden nurrahmat,"Semenjak 2014 saya di Jombang tepat di tahun ini lah saya melihat alun alun kota Jombang layak di sebut alun alun berkelas, seperti halnya kota besar yang lain,.. …"
Tintin Puspitasari,Tempat ternyaman di jombang
ach yunus,alun-alun jombang. tempatnya rekreasi murah meriah. untuk semua keluarga..
Bintang Ilmanna,"Tempat pusat kota yang nyaman dikunjungi.. untuk sekedar bersantai, berkuliner, atau olahraga pagi maupun sore.. fasilitasnya juga lengkap ada toilet umumnya"
Pak Guru,kesini waktu habib syeh. ramai sekali
Riska Aan,"Bagus , bersih,damai ,indah."
Rey_ aldy,"Luar biasa keren tempatnya skarang, cocok buat ngehibur satu kluarga, sederhana tapi menyenangkan itu rasa yg bakalan kita dapat di alon alon jombang"
hermawan Putra,Sebenarnya alun merupakan rth yg nyaman buat jalan jalan dan olah raga..  Tapi kenyataannya banyak pedagang kaki5berjualan. .. Dan waktu olah raga banyak kendaraan lalu lalang harusnya jalannya ditutup...
teguh alfi,"Walau bukan kota besar, tapi punya alun2 yg bagus. Bersih dan bnyk fasilitas bermain untuk anak2"
gaston VF,"Tempat luas parkir nya enak, banyak burung merpati nya ajak anak main kesini lebih seneng gaes,..gratis tis hehehehe"
Dimas P,Ramai seru sekalii
Aries Faradillah,"Sudah bagus, sayangnya area parkir masyarakat dipatok tinggi meski area bebas, jadi mengurangi citra"
Junita Aminah,Recommended untuk wisata dan kuliner
Afiyah Naurah,Lokasi wisata yg murmer... makanannya juga enak2 dan murah... kalau malam banyk wahana bermain... dekat sama masjid juga.. jadi gampang kalau mau sholat...
Wahyu Aprilia,"Tempat luas, cocok untuk berekreasi bersama keluarga , bnyak jenis makanan yg dijual, bnyak wahana bermain yg disewakan juga."
Kurniawan Kusuma,Selalu tiap mgg kesini
Badri Haizumy,"Bagus, ada tempat bermain anak. Semoga wahanya dtambah lagi...  😁😁🙏 …"
Ratna Juita,Semakin ramai dan banyak aneka makanan dijual. Tapi sayang ada bbrp penjual kadang mematok harganya diatas harga normal.
Joecute Joe,"Alun alun Jombang,tepat berada di depan stasiun kota jombang. Tempat nyaman bagi masyarakat yang ingin jalan jalan menikmati udraa sejuk karena di sepanjang pinggir taman alun alun terdapat banyak pohon rindang yang asri"
Maju Mundur,"Spot untuk jogging dan senam pagi dihari minggu, sore banyak pedagang cocok buat jalan jalan sambil menikmati jajanan"
ARIS JUNIARI,Rame..bnyak pilihan kuliner
Inge Sherli Ananda,"Alun - alun adalah salah satu tempat berkumpul masyarakat,disini anda bisa duduk sembari menikmati suasana kabupaten Jombang,tempat rekomendasi untuk olahraga ringan atau sekedar ketemuan."
Nur Farida,"Lokasinya bagus dengan adanya permainan untuk anak"" Sehingga menambah suasana menjadi menarik"
Rraq 2294,"Tempatnya luas, ada area bermain untuk anak²"
Zacki Basya,Lumayan bagus sih tapi masih ada pedagang yang nakal.. harga yang kurang normal masih banyak disana khususnya tempat makan
non,"hallo warga Jombang yg katanya beriman,bersih indah dan nyaman.tolong donk sampahnya mbok ya dibuang ditempat sampah. bikin ga nyaman."
Jefri Kurniawan,"Ruang terbuka yang terdapat banyak stand makanan, minuman yang tentunya dengan harga yang sangat terjangkau dan enak"
Ronny Setiawan,Lewat sini pas ada hari santri jadi rame bgt. Kekurangannya pada lahan parkir. Akses menuju sini jadi macet bgt pas ada event tertentu
Rozandy Azis,"Tempat berkumpul & mencari kuliner yang cukup indah & nyaman, namun sayang para pengunjungnya kurang sadar akan kebersihan"
Lestari Indah,Bersih dan cocok untuk bermain anak anak
Gusti Prasetya,"Dikelilingi tempat ternama. Sisi selatan : stasiun Jombang & jalur lintas provinsi. Sisi barat : Masjid Agung. Sisi Utara : pendopo Bupati. sisi timur : ruas jalan panjang arah Polres, Pengadilan Negeri, RSUD, dan berbagai kantor cabang Bank umum. Disekitar banyak pedagang jual makanan enak & sangat ekonomis."
Siti Fauziah (Hani),"Alun² barunya lumayan, banyak wahana untuk anak...smga cepet² tumbuh pohonnya biar rindang, sejuk"
Erika Sherly,Cocok buat momong bocil2 😁 …
Agustiyah Dwi,"Alun - Alun kota Jombang tempat yg cocok untuk siapa saja yg ingin bermain disini. Area yg sangat luas, banyak penjual makanan dan minuman disekitarnya membuat siapa saja betah bermain disini."
Rizky Jhordison,Rekomen ni untuk kumpul keluarga...atau sekedar momong anak or ponakan...tempat bersih...gas kuy...ramaikan alun2 kota beriman...
ulum faster,"nyaman buat ajak anak kecil,lebih nyaman di waktu sore hingga malam,siang puuuanas"
Ananda H. P.,"suasana alun-alun jombang di malam hari, dengan pemandangan masjid agung 😇 …"
khoirul anwar,Tempat mudah di jangkau
Zaidan Muhyidin,"Sebenarnya nyaman, tapi kasihn lihat pedagang harus sembunyi2"
afilyyon javelry,Tempatnya bagus ada tempat buat olah raga   tetapi untuk masalah kebersihan areanya Masi kurang bersih n Masi bnyak sampah
rosi Ainur,"Pagi yg sejuk di stasiun jombang,  trus ke masjid agung jombang,  trus cari nasi pecel di sekitaran alun alun jombang, mantappp,enak banget."
yuhas poenya,Makin bersih dan indah dipandang. Sangat ramah anak karena ada playground untuk bermain
Samsuri Wong Deso,Sangat bagus tempatnya bersih serta tempat bermain untuk anak sangat menyenagkan
Amamatul Ngizzati,",friendly banget waktu siang menjelang sore. Tapi kalo malem, raaame nya itu loh....hmm. sayang.a bukan rame pemandangan, tpi rame org jualan."
Adhar Widiansyah,"Keren bgt tempatnya luas  pas bgt depan stasiun kereta api jombang.. kota jombang
tentram bgt .. terimakasih"
Alfi Syahri,Nyaman...tempat nya luas... Playground nya aja bingung pintu masuknya dimana... wkwkwkwkwk
Rishi Faomi,"Alun2 bersih dan indah, tertata dg rapi, dg burung dara yg bermain main sambil mencari makan dari pengunjung. Juga diimbangi dg masjid agung yg megah"
Jaey Akhmad,"Tempatnya enak, tempat bermain anak anak, tempat santai sama keluarga, ada yang jualan es, makanan, dll"
Insom speed,"tingkatkan lagi kerapian dan ketertiban ya kalo bisa kendaraan,tidak boleh masuk area alun alun dan penerangan lampu kurang ,sebelah selatan banyak muda mudi yg mojok😁 …"
Tamin s,"Bersih kalo sholat dekat masjet juga dapat pengalam
Jadi tau pendiri NU keturunanya"
Zainudin Ghozali,"Masjidnya ok dan nyaman, kalau habis shubuh dapat minum hangat tradisional, segaarr"
Ceprot Oprot oprot,"Playgroundnya Luas nyaman, Bersih,dan Indah dg lampu lampu Hias bila malam hari"
Asa Umu,"September 2020 pedagang masih belum bisa masuk fan berdagang di area alun2 karena masih pandemi, mereka pindah ke jalan raya smaga."
Ichwan Haniifa,"Bagus sih, cuman perlu pembenahan lebih lanjut, ya contohlah alun2 yang bagus2 kayak Bandung ataw yang lain, ai yakin pasti bisa menarik turis domestik utk visit Jombang. Lebih innovative ya buat Pemda Jombang, supaya lebih maju lagi. Semangat ya...🤗 …"
Fradyga Ichsanifal,Kesini buat lihat idola trisuaka
Abdul Muiz,"Masjid nya juga sangat teduh dan membantu para musafir yang akan berziaroh ke makam para wali, kiyai di Jombang."
m Hrdin,Mudahan cari alamat orang toko wisata planet tertentu dan masih byk lg semoga sukses selalu dan bisa mnfat bg org byk dan juga semuanya...thnks..!!!
Violet Sky,Bersih. Ada masjsid besar yang enak di buat sholat subuh sebelum jogging pagi
Tony Fadhil,"Sedang ada acara "" bulan berkunjung ke Jombang "" bersama umkm."
TV AKHERAT (Center),perahukanjeng struggle will never die
Rizal April,"Ngerusakin barang ngak ada bilang
Buka body
asal asalan"
Dony GTX,"Suasananya lumayan enak buat nongkrong,,harga makanan dan mainan agak mahal"
Eka Ervan,"Alternatif orang tua ngajak jalan2 anak kecil. Banyak tempat bermain dan makan, untuk tempat makan belum nemu yg rekomended"
Wildana Azhar Amiruddin,Tempatnya luas. Banyak pedagang berbagai jenis makanan. Tempatnya bersih dan cocok untuk anak karena banyak tempat bermain
Luluk Niswatin,Alun alun sebagai tempat hiburan warga terutama untuk keluarga dan anak anak. Ada playground yang bagus dan konsep baru sehingga disukai anak2.
andri yanto,"sangat baik buat refreshing sambil mengajak anak-anak...., banyak aneka kuliner, arena bermain anak-anak, luas dan menyenangkan"
MAHES WARI,Wisata keluarga yg hemat
Ibu Susanah,"Alon alon dihari minggu ramai banget. Ada senam bersama. Penjualnya banyak dan macam macam, dari makanan, pakaian sampai sovenir.
Layak dijadikan persinggahan kalo lewat"
Dedik Widjaya,"Tempat rekreasi keluarga paling hemat,, terfasilitasi playground yg aman bagi anak"
M.Rofiqul Ihsan,"Bagus rumputnya terawat, cuma bukupon burung udah saatnya gantii, deket masjid agung manteb lh klo mau buat hilangin jenuh."
Nugroho Suryaputra,Bisa buat main anak²...tp lahan upacara nya habis..
Widianto Uciha,"Tempatnya luas dan nyaman,banyak sekali orang berjualan,mulai dari makanan dan aksesoris serta kebutuhan yang lainnya"
Abi Brown,"Cukup bagus, buat para pengunjung tolong bgt buanglah sampahmu pada tempatnya"
Fanggarac Redyipta,Beberapa bagian masih dalam renovasi 28/11/2021
DEWETSA,"Wajib ibadah didepan alun2, masjid agung jombang"
risma hilda,Bagus jg ramai
A. Robbi Yulianto,"Alun-alun Kabupaten Jombang, ruang terbuka hijau yang menjadi ikon kabupaten Jombang, terletak strategis di pusat kota berdekatan dengan pendopo kabupaten, masjid agung, stasiun, serta kompleks pendidikan. Alun-alun ini sering dijadikan …"
Defi Purnawati,"sholat magrib n isya di masjid agung-nya, sambil nunggu anak2 tanding karate jombang open"
fariz rianayrafreya,Mudah di jangkau sebelah masjid agung jombang
Agus Hariya Saputra,Makan bakso ndeso di depan masjid sore hari sangat menyenangkan
BOONOK CHANEL CHANEL,Tempat kenangan waktu kecilku..tapi sayang pedang kakilima di alun alun jadi menfaatkan keadaan jualnya teramat mahal mohon di intrusi terutama kulinernya biar nyaman dan jadi kota yg ramah saat di kunjungi
Joko Bagus Budan,"Masjid Agung Jbg relatif baru, tp tdk tll besar dan arealnya krg bgt luas & strate gis shgg terkesan krg representatif sbg majid kab Jbg  !"
Erika Nageba,lumayan buat olah raga pagi..
Rahman 69,Ramai sekali
Sholahuddin Ayyub,tempat nya nyaman
Bambang Suharyanto,Tempat favorit bagi anak2
Tri.s. cahy,"Salah satu wisata di jombang jawa timur,cocok untuk berhibur di siang atau malam hari.
Suasana ramai,dekat jalan raya, tepat di depan stasiun kereta, serta disamping masjid agung juga dekat dengan wisata kebon rojo."
ATTA saniscara,"Lumayan bagus...banyak hiburan dan  makanan enak, tapi kesadaran pengunjung untuk membersihkan sampahnya masih kurang banget"
Cahyo Prayogo,"Sangat Ramah Anak. Bersih, nyaman dan aman.."
sylvia soraya,"Makin cantik alun-alunnya, mungkin bisa ditambahkan tempat sampah lagi biar tetap bersih"
FAROUQ,"Ramai kalau malam minggu banyak yang ningkrong pinggir jalan, banyak jualan kaki lima. Dekat dengan stasiun Jombang, jadi ojol/ taksol gbsa deket stasiun"
Mulyono An,"Bagus sekarang,tp sayang penjual mainan,/pedagang lainnya ngk d beri tempat sendiri"
Mohamad Ali Murtadho,"Tempat rekreasi keluarga yg murah meriah, ada tempat bermain anak-anak"
Ragil Arini,"Betsih tempatnya,,cuma agak minim penerangan,tapi luas cocok buat main anak ank"
V Lot,"Tempatnya bersih, sejuk, pepohonan yg rindang,.  Cocok untuk bersantai brsma kluarga n teman. Trdapat bnyak pdagang kakilima di sekitar alun² jombang"
Bagas rizqy Eka waluyo,"Tempat sangat bagus, cuma disayangkan utk tempat sampah kurang banyak untuk area sebesar itu."
Diyah Agustina,"Cocok buat anak anak bermain,,dan petugas.nya tegas saya suka itu👍 …"
Lohan Waduk,Sangat  nyaman asri tempat yg strategi untuk makan lesehan dan ber ibadah dgn masjid yg megah dan tidak bising.meskipun di pingiran  kota
Arif Kuntoro,"Tempat yg nyaman buat kluarga..
Spot foto bagus saat malam hari.
Dekat sarana ibadah ( khusus umat islam )"
Wijayanto Jaya,Cocok untuk hari Minggu tapi kurang rindang
evi unsiyatussafitri,"Tempat yang bagus buat jalan"" sama keluarga atau pacar ..... Banyak tempat wisata dan jualan pedagang makanan"
Laila Setiawan,"Tempat nya luas, nyaman,ramai juga asri bersih top deh"
Dr. Budi Subagijo,"Kembali seperti biasa...banyak yg gak terapkan Prokes, semoga kasus omicron tdk meningkat dijombang"
Lutfi Syahroni,"Sekarang sudah ada playground untuk anak anak, bisa ngajak anak main sepuasnya dan gratis"
KHOIRUL HAMBALI,"tempat nya nyaman, sayang Burung dara nya yg dulu sdh tdk ada lagi"
dera debi,"Ramai penjual dan mainan anak2 seperti odong2 kalau malam,, tp kalau pagi sepi,, enak buat jalan santai"
ahmad fauzi,"Yang paling kerasa deket dan banyak pilihan wisata kuliner, rindang jg banyak pohon2, banyak pilihan mainan anak2 umur 2 sampai 4 tahun"
SHINTA RAKHMADANI,"enak bgt tempatnya, sekarang jadi bwrsih aja karna gaada orang jualan kalo malem bisa kesitu buat santai"
Marwan Suyud,Tempatnya melepas penat di kota Jombang..
yusuf nuraini,"Suana asri, enak buat tempat santai"
Novita Anggraini,"Tersedia kios-kios penjual makanan yang berada di tepi alun-alun yang menyediakan makanan dan minuman lokal khas Jombang, wajib dicoba.."
Anshory Mf,Tempat bermain anak yg bagus dan gratis buat anak2
nad regita,Enak buat duduk2 sambil ngobrol sm temen.. ada playgroundnya juga
Ciblek Sawah,Tempat nya nyaman untuk libur an keluarga
Imam Fauzi,Sangat rekomended buat akhir pekan bersama keluarga tercinta
Adin Permana,"Cocok buat nongkrong, Dan kuliner, Dan untuk viewnya henghadap masjid, di hati jadi ayem Dan tenang, jika ada pengajian."
SAMSUL HADI,Playground bagus... Petugas rajin ingatkan pengunjung tuk jaga kebersihan
Eko Suwono,"Konsepnya penataan sudah bagus, sayang ada pagar nya yg membuat konsep sinergi dg alamnya hilang..dan membuat kesan semrawut, demikian"
Rifqi Arya Kurniawan,"Banyak acara yg bisa di gelar disini seperti konser,acara religi,RTH,dll. Juga sangat dekat dengan fasilitas umum lain nya (stasiun,masjid dan rumah sakit)"
erix adam,"Bagus suasananya kalo malem..kalo beruntung bs nemu spot yg bagus buat foto, boleh dicoba"
Riana Sari,Sore hari banyak sekali pilihan jajanan
Koesjadi Saputra,"Alun-alun sekarang sudah beda dg beberapa tahun sebelumnya, banyak erena bermain untuk anak-anak dan yg pasti gratis.."
Ratih Prihatiningtyas,"Alun alun jombang emang favorit tuk sekedar family time
Bisa kasih makan burung, makan telur gulung
Suka aja"
Juna Achmad,Kalau malem apalagi weekend seru dan rame
Siska Heniw,Sekarang ada yg jualan didalam alun alun  kayak dulu... Jadi seneng gak jauh-jauh kalo beli cemilan
Retno Ayu,Lumayan buat ngadem
asmaul ubaidah,Alun alun Jombang sangat bagus untuk kegiatan kumpul bersama keluarga
F Z,Sedang ada perbaikan ... Semoga kedepan jadi lebih baik dan nyaman untuk olahraga maupun aktivitas luar lainnya
yunita tia,"Luas bisa buat main anak"", dekat masjid dan stasiun kereta api.. mantap"
Iqbal Indra,"Tempat bagus, bersih, ada mainan anak2nya... Parkirnya minim"
Syaiful Amin Rhomadon,"Tempat nya nyaman, tapi masih banyak pengemis yang berkeliaran, mungkin jika tidak ada pengemis akan lebih nyaman lagi"
Hendriansyah Mochamad,Bersih tp agak gersang kurang pepohonan
Santri Jombang,"Tempat yg indah, sejuk untuk santai bersama keluarga"
Putri Rizki Fitriyani,"Bersih,,,,semoga selalu fasilitas2 yg ada d alun2 ttp terjaga & terawat"
Budi Pramono,Alun alun Jombang minggu pagi ramai sekali.. kayak pasar... kuliner bermacam macam...salah satunya Pecel Pincuk Mbok Darmi yg bikin kangen
Dewi Malick,Ada taman bermain untuk anak-anak. Tempat nyaman.
MDPL mount,Momong si kecill
Zuli Purwanti,"Sejuuk tp banyak pengamen, trus klo ada event sering ada parkiran liar tarif 5rb per motor"
Thole Gaoxs,"Fasilitas kamar mandi/toilet,,,,,TOLONG lebih d jaga lagi kebersihannya biar pengunjung LBH nyaman"
Arif Effendi,Mantap suasana dan kondisi yang baru
Very Ramadhan,Upacara lahirnya Pancasila 5 Agustus 18
Takari ningsih,Tempatnya nyaman
Acis Siswanto,Penataan pedagang kaki lima semrawut. Sampai² untuk berjalan kaki aja kalah sama yg parkir motor baik di dalam n di luar alun-alun
Yan Yanuar,"Suasana oke kalau sore hari, bisa nongkrong sambil beli cemilan"
Ainun Habibah,"Enak sejuk, anginnya sepoi-sepoi"
Bani Fidah,"kalau ke Jombang. kupastikan untuk melipir ke alun alun. banyak makanan dan cemilan disana. selain itu dekat juga dengan masjid agung. lokasinya adem, strategis, dekat dengan stasiun jugaaa. tempat leyeh leyeh sambil nunggu jemputan teman"
Ara Muku,"Kalau libur pas hari biasa, paling enak gowes pagi ke alun alun jombang. Bisa sepedaan di sekeliling atau dalam lapangan, dan disana juga banyak orang jualan."
Firdaus Fery,Banyak wahana untuk bocil
Mohammad Mudhofar,"Masjid Besar, bersih, architecture sangat bagus, tempat wudlu dan kamar mandi jg banyak bersih lg.
Pokoknya top..."
Nindi Fadhila,Mudah2an tempat bermain untuk anak2nya segera jadi...biar makin seru klw ngajak anak2 ke alun2...
ANANG MA'RUF,Bersih..nyaman
dinak603,"Paling enak kalo pas malam bawa tikar, digelar di tengah lapangan. Sambil beli jagung rebus/bakar, kacang rebus, atau makanan lainnya."
Yati Ningsih,Tamanya bagus
Lik Cin,Santai dan banyak jajanan
Nanang Jatmiko,Tempat bermain anak-anak
Multimedia Mojokerto,baik sekali setelah diadakan renovasi khususnya arena playground kids nya
damn plukers,"Ajang kumpul, dekat mesjid Agung  atau sekedar nunggu keberangkatan kereta. Keberulan sebelahan dgn stasiun jombang"
POTONG RAMBUT IBNU,Tempat nya ramai enak... Tp jln sblh barat terlalu sempit.. karena terhimpit parkir
Susi Rahayu,Tempatnya luas ada playground untuk anak2 dan lumayan nyaman buat istirahat
Zaizan 10,Lebih baik dari yang dulu👍🏽👍🏽👍🏽 …
Nesya Talita,Tempat luas... tempat bermain anak tdk ada.. pengamen banyak betul..🙃🙃 …
Elsa Pravitasari,"Bagus, banyak penjual makanan dan minuman, ada arena bermain anak"
Sam Widodo,tempat anak nongkronk cantik
M Hangty,Asri dan baguss
Yulianto “Batam / mbah joko”,Kreco adalah makanan ringan kesukaan saya kalau pas mudik...
Noda Digital,"Tempatnya bagus dan indah, dekorasi taman dan tempat bermain menarik, cocok buat foto-foto"
Galih Tyas,"Tempatnya bersih, nyaman, luas, deket masjid dan sangat strategis."
Intan Fitria,"dengan komentar
- garansi mudah
- ⁠pelayanan ramah
- ⁠harga murah"
Supang wong cilik,Tempat ny enak bersih pedagang nya jg banyak..dan ramah2
DZAM PERFUME,"Sayang utk rumput di tengah bisa di naiki sepeda motor

Padahal juga bisa utk keindahan kota …"
Ericha Istyadi Putra,"Tempat nyantai, bisa dibilang ruang terbuka hijau yg gak susah untuk cari makanan, minuman atau jajanan"
Denta Calendar,"Parkir luass.. Sebrang stasiun jombang bagus, ada tempat bermain anak2.. Bersih"
Lauh Mahfud,"Tidak tertata rapi, pkl semrawut, tempat sampah kurang, sama maaf banyak orang minta-minta"
Lastri sulas,tempatnya bagus.bersih.rapi.permainannya banyak.anak-anak jadi betah bermainnya.
Mas Riski,Bagus indah banyak jajan
SITI DESIANTI ENGGAR FITRI,Tambah bagus setelah dilakukan renovasi👍 …
Yunk Kun,"Sebulan sekali pasti main kesini, semoga tetap terawat dan makin bagus...👍👍 …"
Aliridwan Ridwan78,Taman bermain anak
Muda Mudi,tempatnya panas..harusnya tempat bermain anknya ada penutup atasnya.jadi tidak kepanasan anaknya
Tom Kalvandra,"Nyaman, bersih, cocok buat ajak kluarga jalan2 pagi/sore nikmati suasana"
Dicky Ardyan,Suasana enak. Rame jika weekend. Banyak penjual. Hanya kurang fasilitas untuk pengunjung seperti tempat duduk dan tempat teduh.
W. Arum,"Sangat strategis dengan stasiun, alun-alun juga cukup luas"
Dion Bong,"Sejuk nyaman tapi sayang sekarang jadi daerah sepi karena corona, semoga semua lekas kembali normal.. Aamiin"
arif efendi,"Sudah lebih baik, ada kursi taman, burung dara dll. Cuma kebersihan dan keasriannya perlu ditambah"
Siti Wahibah,"Bagus sekali,ada tempat bermainnya anak ank lebih suka"
AGUS WAHYUDIE,"Susana sejuk dan ramai, enak buat olahraga"
Nivia Official,"Tempatnya sangat bagus, di siang hari banyak burung berterbangan, apalagi di malam hari banyak lampu-lampu mengelilingi."
Joko Budi,"Taman bermain bersama keluarga untuk melepas penat di pagi dan sore hari, cocok untuk anak"" bermain,"
luluk Nurfarida,Playground gratis dan luas anak² pasti kerasan dan puas main disana
Enik.0701,"Tempatnya bagus,tapi sayang tulisan DILARANG MENGINJAK TANAMAN dirumput² tidak digubris pengunjung malah dipake lewat..terimakasih"
Widi Wijanarko,"Sedang direnovasi. Semoga nantinya akan lebih baik.

Ehh, ngomong2 ini renovasi pake anggaran tahun berapa ya? Tahun Anggaran 2021 ngga sampe sebulan lagi lho.... Ati-ati ya gaeesss...."
elen na,Sebaiknya di tambah dgn spot foto yg bagus dan tambah permainan anak dan orang dwasa soalnya tempatnya sudah luas
new fosa,skng ada taman anak2.. dulu blm ada skng rame anak2 ...
Ndre Andre,Banyak pilihan warung tenda makan disini. Menu makanan beragam tapi kebanyakan nasi goreng bakmi dan menu makanan yang umum dijual pake gerobak dorong.
Sumarno Marno,"Banyak tempat buat olahraga dan sangat bersih, tempat parkir yg luas dan nyaman"
hikma triana hady,semakin nyaaman dan menarik
Shofia Nasa,"Bagus,tempatnya luas ,ada area bermain nya"
anok karsono,Luas...rindang...bersih..kalau malam berubah jdi tempat rekreasi warga...kuliner...mainan anak2..
ANIK IDA FAUZIAH,"Luas cocok buat healibg, ada play ground yang nyaman juga. Kamar mandi bersih"
nurul aweni,Banyak orang jualannya & bisa menikmati pemandangan burung-burung dara beterbangan. Tapi sayang banyak pengamen & pengemisnya
Muhammad Ihya'ul Ulum,Makin bersih dah tertata
Ahmad Nungki,"Tempatnya bagus tp sayang pengunjungnya tidak bagus suka buang smpah smbarangan sampah alun"" banyak tolong kesadaran dirinya🙏 …"
Lukima Hasim,"Bersih nyaman
Aslinya aku solat di masjid kok di bilang ke halun halun hee mbah google tapi lokasinya pas di depan masjid jombang kok brooo..."
Rochmad agung cahyono,Tempatnya sangat luas.. Banyak pedagang.. Cocok buat tujuan tempat hiburan keluarga..
Erix Triadi,"Tempat nya nyaman,, yang pasti ada tempat bermain anak gratis.. Recomended buat tempat JJS di Jombang bersama keluarga"
Reza Palavi,Nyaman
Bambang Priyono,Tempat yang menyenangkan karna ada playground buat anak-anak main
Agam Zamzani,Kalau pagi hari dibuat acara olahraga kemudian di malam hari dulunya dibuat tempat pedagang kaki lima
Miftakhul Hasan,dulu masih tanam dipelihara sampai rindang menjadi sejuk dan adem sekarang alun alun jadi panas pohon di tebang i sampai habis
Agus Setiawan,Anak2 saya betah kalau main... soalnya tempatnya luas.. bisa lari larian..
Rizal Priyanjoko,Beli Mobil bekas bebas was was
Nurul Arifin,"Tempatnya luas...bersih, kadang digunakan spot foto, olahraga, atau lihat2 saja"
elok farida,Sekarang berasa panas dan gersang. Semoga nanti wajah baru alun-alun bisa teduh & sejuk meskipun siang hari
Budi Septiono,Tertata rapih
Tri Wulandari,tempat bermain yang nyaman dan seru..
Rudi _,Lumayan bagus
hendrik romadhona,Tempat alternatif taman kota
Ayu Caca,Enak untuk duduk2. Sayang nya penjual jajanan dan minuman masih kejar2 an dgn satpol PP.
Robi Hand,bersih lebih tertata
Anafun Nahari,Tempat nyaman buat olgrga jln pagi
Widigdo Hadi Pratoyo,Alun-alun yang asik dan ramai. Banyak makanan dan minuman. Cocok buat santai dan istirahat jika berpergian jauh. Cocok jg buat hangout dan kumpul2 bersama
nurali radina,Semakin tertata rapi tapi sayang lampu penerangan di pinggir kok banyak yang mati
Iswanto Cah Ganteng,tempat bermain yg bagus sekali buat anak2 dan untuk orang dewasa
achfy achfy,Tmpat bersih dan strategis dekat masjid agung dan stasiun kota cocok buat pengunjung yg jauh dan ingin istrhat ato refresing
Fatchur Rofiq Syaroni,"Cocok buat kumpul2 sama teman atau keluarga, dekat dengan masjid yg megah"
Devi Muji Lestari,"Siapa sih yg tdk kenal dgn icon satu ini di kota jombang beriman tercinta,  ya alun-alun jombang.
Terletak ditengah kota jombang,  berseberangan jalan dengan stasiun jombang, …"
Royhan A.f.c,Untuk alun-alun Jombang pastinya nggak diragukan lagi yah . .disamping bisa di buat melepas penat juga bisa dibuat juga menikmati berbagai kuliner dan tentunya tempat nongkrong yang sesuai dengan kantong santri
Miftakhul Ikhsan,"Pusat aktivitas warga jombang, yang olahraga, yang permainan dan yang sekedar refresing bisa disini, lokasi nyaman bersih, dekat dengan pusat pusat kegiatan masyarakat.."
